"gene"	"ncpgs_orig"	"ncpgs"	"treatment.ratio"	"converged"	"p.value.treatment"	"p.value.inter"	"adj.p.value.treatment"	"adj.p.value.inter"
"SpisGene19994"	60	41	1.10936073381458	1	0.0656559278088257	1	0.231700941664628	1
"SpisGene19995"	259	252	1.01170159642092	1	0.715622338738538	1	1	1
"SpisGene19996"	62	62	1	1	1	1	1	1
"SpisGene19997"	242	235	0.985776801393685	1	0.0342975131611687	1	0.149613944877672	1
"SpisGene19999"	82	82	1	1	1	1	1	1
"SpisGene20000"	90	78	1	1	1	1	1	1
"SpisGene20007"	26	16	0.699200612704578	1	2.94905770485263e-06	1	0.000160774490736966	1
"SpisGene20010"	71	16	1	1	1	1	1	1
"SpisGene20011"	38	34	0.962930900840339	1	0.0464805115897643	1	0.184969371364229	1
"SpisGene20012"	24	15	1.10932059306755	1	0.430683486804891	1	1	1
"SpisGene20013"	16	16	1	1	1	1	1	1
"SpisGene20014"	32	31	1	1	1	1	1	1
"SpisGene20018"	78	78	1	1	1	1	1	1
"SpisGene20019"	28	27	1	1	1	1	1	1
"SpisGene20020"	39	39	0.922107132546852	1	0.0421803575737243	0.000186972329338182	0.172509245110276	0.00927902586899397
"SpisGene20021"	97	85	1	1	1	1	1	1
"SpisGene20022"	43	42	0.945821931873225	1	0.0104366798705586	1	0.0671510044451621	1
"SpisGene20024"	22	11	1	1	1	1	1	1
"SpisGene20029"	22	22	1	1	1	1	1	1
"SpisGene20035"	105	90	0.977227357850256	1	0.986725476121006	1	1	1
"SpisGene20036"	50	42	1	1	1	1	1	1
"SpisGene20037"	16	15	0.740184443069801	1	5.60555789143913e-08	1	5.18494060975622e-06	1
"SpisGene20042"	28	28	1	1	1	1	1	1
"SpisGene20043"	75	75	1	1	1	1	1	1
"SpisGene20044"	56	55	0.97223953824577	1	0.0295879993542683	1	0.135590223127821	1
"SpisGene20068"	8	8	1	1	1	1	1	1
"SpisGene20069"	48	48	1	1	1	1	1	1
"SpisGene20070"	52	52	1.02287422887801	1	0.0189356123079994	1	0.101090410715209	1
"SpisGene20071"	127	126	1	1	1	1	1	1
"SpisGene20072"	61	60	1	1	1	1	1	1
"SpisGene20076"	50	48	1	1	1	1	1	1
"SpisGene20077"	115	115	1	1	1	1	1	1
"SpisGene20080"	12	8	0.845760489676977	1	0.0617181359145493	1	0.222711070485521	1
"SpisGene20091"	27	20	1	1	1	1	1	1
"SpisGene20094"	178	147	1	1	1	1	1	1
"SpisGene20095"	116	102	0.626731661092588	1	0.00231871939423037	8.70660802648267e-11	0.0227695364116659	5.56170914950934e-08
"SpisGene20097"	16	16	1	1	1	1	1	1
"SpisGene20102"	19	7	1.20384	1	0.0879690190305924	1	0.284997989933128	1
"SpisGene20105"	34	6	0.778175143808655	1	0.0221486487836242	1	0.112439952334114	1
"SpisGene20106"	177	169	0.966156164745848	1	1.70715876937925e-05	1	0.000602411520657612	1
