Spis3315 SpisGene3315
Spis341.t1 SpisGene341
Spis9329 SpisGene9329
Spis17114 SpisGene17114
Spis2244 SpisGene2244
Spis2366 SpisGene2366
Spis22216 SpisGene22216
Spis6511 SpisGene6511
Spis9720.t1 SpisGene9720
Spis12521 SpisGene12521
Spis7656 SpisGene7656
Spis13617 SpisGene13617
Spis3240 SpisGene3240
Spis5080 SpisGene5080
Spis1926 SpisGene1926
Spis3175.t1 SpisGene3175
Spis15878 SpisGene15878
Spis17463 SpisGene17463
Spis6745 SpisGene6745
Spis11115 SpisGene11115
Spis835 SpisGene835
Spis10739 SpisGene10739
Spis7593 SpisGene7593
Spis6185 SpisGene6185
Spis6872.t1 SpisGene6872
Spis2495 SpisGene2495
Spis14563 SpisGene14563
Spis6742 SpisGene6742
Spis20158 SpisGene20158
Spis16593 SpisGene16593
Spis21765 SpisGene21765
Spis24152 SpisGene24152
Spis14671 SpisGene14671
Spis7880 SpisGene7880
Spis14709 SpisGene14709
Spis6612 SpisGene6612
Spis11545 SpisGene11545
Spis19074 SpisGene19074
Spis20111 SpisGene20111
Spis16865 SpisGene16865
Spis14829 SpisGene14829
Spis18577 SpisGene18577
Spis21518 SpisGene21518
Spis2935 SpisGene2935
Spis16482.t1 SpisGene16482
Spis7863 SpisGene7863
Spis4015 SpisGene4015
Spis16628 SpisGene16628
Spis15952 SpisGene15952
Spis5174 SpisGene5174
Spis3163 SpisGene3163
Spis11527 SpisGene11527
Spis16639 SpisGene16639
Spis19882.t1 SpisGene19882
Spis6539 SpisGene6539
Spis6264.t1 SpisGene6264
Spis12658 SpisGene12658
Spis18976 SpisGene18976
Spis8931 SpisGene8931
Spis19836 SpisGene19836
Spis50 SpisGene50
Spis701 SpisGene701
Spis16125 SpisGene16125
Spis18309 SpisGene18309
Spis17307.t1 SpisGene17307
Spis21503 SpisGene21503
Spis837 SpisGene837
Spis16649 SpisGene16649
Spis5322 SpisGene5322
Spis10724 SpisGene10724
Spis10612 SpisGene10612
Spis17034 SpisGene17034
Spis5478 SpisGene5478
Spis22530 SpisGene22530
Spis19012.t1 SpisGene19012
Spis15913 SpisGene15913
Spis22558 SpisGene22558
Spis14728.t1 SpisGene14728
Spis1676 SpisGene1676
Spis15806 SpisGene15806
Spis14035.t1 SpisGene14035
Spis17933 SpisGene17933
Spis8110 SpisGene8110
Spis345 SpisGene345
Spis647 SpisGene647
Spis4881 SpisGene4881
Spis7931 SpisGene7931
Spis4193 SpisGene4193
Spis7196 SpisGene7196
Spis9326 SpisGene9326
Spis2975 SpisGene2975
Spis7143.t1 SpisGene7143
Spis15920 SpisGene15920
Spis21720 SpisGene21720
Spis11272 SpisGene11272
Spis5705 SpisGene5705
Spis946 SpisGene946
Spis976.t1 SpisGene976
Spis17636.t1 SpisGene17636
Spis20302 SpisGene20302
Spis6978 SpisGene6978
Spis3417 SpisGene3417
Spis4914 SpisGene4914
Spis8656 SpisGene8656
Spis23768 SpisGene23768
Spis11271 SpisGene11271
Spis1475 SpisGene1475
Spis512 SpisGene512
Spis1337.t1 SpisGene1337
Spis3147 SpisGene3147
Spis20311 SpisGene20311
Spis9812 SpisGene9812
Spis3271 SpisGene3271
Spis15823 SpisGene15823
Spis22992 SpisGene22992
Spis8088 SpisGene8088
Spis22178 SpisGene22178
Spis13669 SpisGene13669
Spis700 SpisGene700
Spis8754 SpisGene8754
Spis11145 SpisGene11145
Spis14112 SpisGene14112
Spis3998 SpisGene3998
Spis5205 SpisGene5205
Spis11203 SpisGene11203
Spis16876 SpisGene16876
Spis1589 SpisGene1589
Spis13274 SpisGene13274
Spis17530 SpisGene17530
Spis7555 SpisGene7555
Spis13540 SpisGene13540
Spis13546 SpisGene13546
Spis16796 SpisGene16796
Spis19056 SpisGene19056
Spis6907 SpisGene6907
Spis9197.t2 SpisGene9197
Spis15686 SpisGene15686
Spis6729 SpisGene6729
Spis17878 SpisGene17878
Spis11743 SpisGene11743
